,Risk
843,2.5732312759538083e-07
844,3.09896214315219e-07
845,2.4465756450703003e-07
846,4.3526896406520734e-08
847,4.527745575747609e-08
848,6.769796012046128e-08
849,5.387462144714737e-08
850,5.160144380887724e-08
851,8.016716044311038e-07
852,1.8471547855495215e-07
853,4.6243945292614146e-07
854,8.79392995970824e-08
855,1.9186500940642932e-07
856,1.5596030518754966e-07
857,2.509380201046545e-07
858,3.693990191925533e-07
859,1.233880102215818e-07
860,1.2912719202174135e-07
861,1.9569731666393925e-07
862,2.85486252039901e-07
863,2.962690974502493e-07
864,7.662762010575279e-07
865,1.9296678716436743e-06
866,1.88570006588418e-07
867,2.990535551074396e-06
868,2.6756502228431974e-07
869,1.3569269854779403e-07
870,3.0234680860251885e-07
871,2.697834790127711e-07
872,6.798362275631332e-07
873,3.0294697434838336e-07
874,9.652040150346449e-07
875,0.029482497855563974
876,1.7923598793334482e-07
877,8.98044487898965e-08
878,9.424093874614935e-08
879,3.6444095243163716e-08
880,7.79115905989382e-08
881,1.1169611344698917e-07
882,5.788969500275534e-07
883,7.134010347758699e-08
884,2.1882371937397308e-07
885,2.5852728027129746e-07
886,1.3090838493578608e-07
887,9.807906213027942e-06
888,1.0624097923370772e-05
889,3.93070860286322e-08
890,1.0940768289143213e-07
891,7.141770653585666e-08
892,2.0658397659225252e-07
893,3.2652369627369136e-08
894,4.768499175963881e-08
895,4.517568657227792e-08
896,2.3386777519852381e-07
897,1.6821003125264875e-07
898,4.743967070943557e-08
899,3.339048313962415e-08
900,3.0397493198155595e-08
901,3.6862395394661535e-07
902,4.8658324782415056e-08
903,5.210884069932475e-08
904,4.255787736158071e-08
905,2.8059382803229706e-08
906,3.802219925416928e-08
907,4.886728036952977e-08
908,3.156341114875999e-08
909,1.4708834239505812e-07
910,6.142379730878239e-08
911,6.174118617640918e-08
912,4.723568452556528e-08
913,7.312542273759429e-06
914,6.624083893224754e-07
915,6.05625813774168e-08
916,3.9006298001815616e-08
917,1.1614868190011682e-07
918,1.3260933330281199e-07
919,1.524999043728053e-07
920,1.4977514718584338e-07
921,2.526259315523998e-07
922,6.317946873516924e-08
923,2.0217670665650337e-06
924,4.698479150173915e-08
925,6.648559684714982e-08
926,4.631691182013895e-08
927,5.786936167740445e-08
928,9.127949723141521e-08
929,9.117848843839027e-06
930,1.4340786805408966e-05
931,5.8673095675086436e-08
932,5.1484643112931054e-08
933,7.525431964994734e-07
